"Case ID","Activity","Resource","Complete Timestamp","Variant","Variant index","Variant (#1)","seriousness","customer","product","responsible_section","seriousness_2","service_level","service_type","support_section","workgroup"
"Case 1","Assign seriousness","Value 1","2012/10/09 14:50:17.000","Variant 12",12,"Variant 12","Value 1","Value 1","Value 1","Value 1","Value 1","Value 1","Value 1","Value 1","Value 1"
"Case 1","Take in charge ticket","Value 1","2012/10/09 14:51:01.000","Variant 12",12,"Variant 12","Value 1","Value 1","Value 1","Value 1","Value 1","Value 1","Value 1","Value 1","Value 1"
"Case 1","Take in charge ticket","Value 2","2012/10/12 15:02:56.000","Variant 12",12,"Variant 12","Value 1","Value 1","Value 1","Value 1","Value 1","Value 2","Value 1","Value 1","Value 1"
"Case 1","Resolve ticket","Value 1","2012/10/25 11:54:26.000","Variant 12",12,"Variant 12","Value 1","Value 1","Value 1","Value 1","Value 1","Value 2","Value 1","Value 1","Value 1"
"Case 1","Closed","Value 3","2012/11/09 12:54:39.000","Variant 12",12,"Variant 12","Value 1","Value 1","Value 1","Value 1","Value 1","Value 2","Value 1","Value 1","Value 1"
"Case 2","Assign seriousness","Value 4","2012/04/03 08:55:38.000","Variant 1",1,"Variant 1","Value 1","Value 2","Value 2","Value 1","Value 1","Value 2","Value 1","Value 1","Value 1"
"Case 2","Take in charge ticket","Value 4","2012/04/03 08:55:53.000","Variant 1",1,"Variant 1","Value 1","Value 2","Value 2","Value 1","Value 1","Value 2","Value 1","Value 1","Value 1"
"Case 2","Resolve ticket","Value 4","2012/04/05 09:15:52.000","Variant 1",1,"Variant 1","Value 1","Value 2","Value 2","Value 1","Value 1","Value 2","Value 1","Value 1","Value 1"
"Case 2","Closed","Value 5","2012/05/19 09:00:28.000","Variant 1",1,"Variant 1","Value 1","Value 2","Value 2","Value 1","Value 1","Value 2","Value 1","Value 1","Value 1"
"Case 3","Assign seriousness","Value 6","2010/10/29 10:14:06.000","Variant 1",1,"Variant 1","Value 1","Value 3","Value 3","Value 1","Value 2","Value 2","Value 1","Value 1","Value 1"
"Case 3","Take in charge ticket","Value 7","2010/11/03 16:16:11.000","Variant 1",1,"Variant 1","Value 1","Value 3","Value 3","Value 1","Value 2","Value 2","Value 1","Value 1","Value 1"
"Case 3","Resolve ticket","Value 7","2010/11/03 16:21:17.000","Variant 1",1,"Variant 1","Value 1","Value 3","Value 3","Value 1","Value 2","Value 2","Value 1","Value 1","Value 1"
"Case 3","Closed","Value 5","2010/11/30 11:20:18.000","Variant 1",1,"Variant 1","Value 1","Value 3","Value 3","Value 1","Value 2","Value 2","Value 1","Value 1","Value 1"
"Case 4","Assign seriousness","Value 8","2010/12/15 14:31:53.000","Variant 1",1,"Variant 1","Value 1","Value 4","Value 3","Value 1","Value 2","Value 2","Value 1","Value 1","Value 1"
"Case 4","Take in charge ticket","Value 2","2010/12/16 08:01:07.000","Variant 1",1,"Variant 1","Value 1","Value 4","Value 3","Value 1","Value 2","Value 2","Value 1","Value 1","Value 1"
"Case 4","Resolve ticket","Value 2","2010/12/16 08:08:19.000","Variant 1",1,"Variant 1","Value 1","Value 4","Value 3","Value 1","Value 2","Value 2","Value 1","Value 1","Value 1"
"Case 4","Closed","Value 5","2011/02/12 14:40:42.000","Variant 1",1,"Variant 1","Value 1","Value 4","Value 3","Value 1","Value 2","Value 2","Value 1","Value 1","Value 1"
"Case 5","Assign seriousness","Value 9","2012/04/03 13:08:32.000","Variant 9",9,"Variant 9","Value 1","Value 5","Value 3","Value 1","Value 2","Value 3","Value 1","Value 1","Value 1"
"Case 5","Take in charge ticket","Value 10","2012/04/03 13:45:33.000","Variant 9",9,"Variant 9","Value 1","Value 5","Value 3","Value 1","Value 2","Value 3","Value 1","Value 1","Value 1"
"Case 5","Resolve ticket","Value 10","2012/04/03 13:47:22.000","Variant 9",9,"Variant 9","Value 1","Value 5","Value 3","Value 1","Value 2","Value 3","Value 1","Value 1","Value 1"
"Case 5","Take in charge ticket","Value 10","2012/04/03 14:15:02.000","Variant 9",9,"Variant 9","Value 1","Value 5","Value 3","Value 1","Value 2","Value 3","Value 1","Value 1","Value 1"
"Case 5","Resolve ticket","Value 10","2012/04/03 16:07:28.000","Variant 9",9,"Variant 9","Value 1","Value 5","Value 3","Value 1","Value 2","Value 3","Value 1","Value 1","Value 1"
"Case 5","Closed","Value 5","2012/05/25 13:10:28.000","Variant 9",9,"Variant 9","Value 1","Value 5","Value 3","Value 1","Value 2","Value 3","Value 1","Value 1","Value 1"
